id_2019,id_2020,name_2019,name_2020,change,population,areal,land,poplandratio,countyid_2019,county_2019,countyid_2020,county_2020
1818,1818,Herøy (Nordland),Herøy (Nordland),null,1780,64,64,28,18,NORDLAND,18,NORDLAND
5013,5056,Hitra,Hitra,35,4694,680,644,7,50,TRØNDELAG,50,TRØNDELAG
0827,3819,Hjartdal,Hjartdal,null,1572,792,737,2,8,TELEMARK,38,VESTFOLD OG TELEMARK
1133,1133,Hjelmeland,Hjelmeland,null,2684,1089,969,3,11,ROGALAND,11,ROGALAND
0138,3014,Hobøl,Indre Østfold,6,5642,140,139,40,1,ØSTFOLD,30,VIKEN
0620,3044,Hol,Hol,null,4473,1855,1653,3,6,BUSKERUD,30,VIKEN
0612,3038,Hole,Hole,null,6845,193,135,51,6,BUSKERUD,30,VIKEN
0715,3802,Holmestrand,Holmestrand,12,14371,249,233,62,7,VESTFOLD,38,VESTFOLD OG TELEMARK
5026,5026,Holtålen,Holtålen,null,2025,1210,1170,2,50,TRØNDELAG,50,TRØNDELAG
1444,1577,Hornindal,Volda,29,1152,187,174,7,14,SOGN OG FJORDANE,15,MØRE OG ROMSDAL
0701,3801,Horten,Horten,null,27334,70,69,399,7,VESTFOLD,38,VESTFOLD OG TELEMARK
0239,3037,Hurdal,Hurdal,null,2864,285,261,11,2,AKERSHUS,30,VIKEN
0628,3025,Hurum,Asker,10,9521,163,156,61,6,BUSKERUD,30,VIKEN
0111,3011,Hvaler,Hvaler,null,4599,90,90,51,1,ØSTFOLD,30,VIKEN
1413,4637,Hyllestad,Hyllestad,null,1366,259,248,6,14,SOGN OG FJORDANE,46,VESTLAND
1119,1119,Hå,Hå,null,18814,258,248,76,11,ROGALAND,11,ROGALAND
1034,4226,Hægebostad,Hægebostad,null,1683,461,424,4,10,VEST-AGDER,42,AGDER
1416,4638,Høyanger,Høyanger,null,4091,908,837,5,14,SOGN OG FJORDANE,46,VESTLAND
5046,5046,Høylandet,Høylandet,null,1254,755,703,2,50,TRØNDELAG,50,TRØNDELAG
